Period,Stock Path # 1,Stock Path # 2,Stock Path # 3,Stock Path # 4
0,50.00000000000000000000,50.00000000000000000000,50.00000000000000000000,50.00000000000000000000
1,49.67246571524500000000,49.17720338373120000000,48.66990955473600000000,47.64062831369760000000
2,49.62561447317240000000,49.81807610640440000000,46.16933695649070000000,49.44965647796760000000
3,49.74389303216170000000,51.17905475827920000000,47.48101536952510000000,49.37270539766190000000
4,50.21564152198090000000,50.33276668003760000000,49.03429518221750000000,49.94758921520010000000
5,48.35697199572110000000,52.61925563338850000000,48.26327388804520000000,47.81947512309300000000
6,48.74161440765530000000,54.68527228382640000000,47.89476089966630000000,44.88372867132580000000
7,50.07553332471120000000,56.00834059092010000000,52.30994662914880000000,47.05801754039980000000
8,49.63421214849620000000,56.06932498031680000000,53.25540842517120000000,45.95504277080330000000
9,48.39204208630680000000,56.52544802711810000000,53.18281242269160000000,47.55576980144100000000
10,48.19366029137930000000,56.38809033368910000000,55.00476299580710000000,47.32945977971940000000
11,48.95431626609650000000,55.18738201940040000000,54.17970561166020000000,46.02751759787620000000
12,48.57217765259000000000,55.61135687978660000000,52.22224720617910000000,45.26277946256950000000
13,48.33750775634120000000,55.94307853737430000000,54.67904742712320000000,46.09349204394380000000
14,49.02004551466400000000,57.20034488280240000000,54.70252699636860000000,47.44439265589330000000
15,48.84821732527260000000,56.78329962879750000000,56.24461167908350000000,46.53033450492540000000
16,49.44922109493330000000,54.86352939967000000000,56.79763489817400000000,45.97499390421890000000
17,49.46076809845850000000,54.87363939065390000000,55.97534176835870000000,47.40840026864490000000
18,48.47794569569480000000,53.03392968175350000000,59.58011840481000000000,48.82683410953410000000
19,47.87040150506440000000,52.66993391383670000000,58.86041453334640000000,48.49007529625060000000
20,46.50539258383870000000,52.52664241485080000000,57.76969251766810000000,48.77942566398020000000
21,48.54795342434830000000,51.93271063820520000000,56.17479269194660000000,47.53793616549020000000
22,47.95620894064680000000,54.01279574945500000000,57.65820282405170000000,49.68253369277320000000
23,48.25684858520720000000,51.51076970246350000000,60.22573209185760000000,48.73649899274500000000
24,47.73624811681630000000,51.92709992353210000000,57.67841283198240000000,45.87906837369430000000
25,48.80161104123410000000,52.24077630630720000000,60.36803067061160000000,45.24328232227330000000
26,48.31082516232280000000,52.32676729954720000000,61.00098974711720000000,45.52837258002890000000
27,49.15790979236900000000,50.26442660092930000000,63.67223863409830000000,45.09239909227300000000
28,48.18450298863250000000,50.87343797136110000000,65.22476838750550000000,45.51832898809180000000
29,47.64559645902420000000,50.34702663756820000000,64.17136745504780000000,46.32054563194600000000
30,46.19090701837790000000,52.61232816791570000000,64.35593114895590000000,47.01361004222160000000
31,46.16882507995330000000,51.99520731033370000000,66.47511823529580000000,45.79458037387120000000
32,46.04713832855800000000,51.60889802577120000000,64.08115523685150000000,43.75891065666180000000
33,46.28389036606960000000,51.09820491814620000000,65.92626030786660000000,42.87835200033870000000
34,44.47171595340930000000,50.68745061805910000000,65.47408755971290000000,41.82447328463910000000
35,44.02258650129090000000,49.91245414442520000000,65.69514201062040000000,44.19081452511050000000
36,43.00173280721740000000,50.15547715312550000000,62.34601459420910000000,43.01085657561010000000
37,42.58938203396780000000,50.71729135004500000000,58.91822025250590000000,43.46319214914290000000
38,43.22692742950670000000,50.05010911006970000000,60.95368079872190000000,45.09441434575370000000
39,43.52026539833900000000,50.24597094006050000000,65.73122076999660000000,44.28617459254450000000
40,45.20290304560200000000,50.44670943754680000000,61.06263648321500000000,43.43482751838760000000
41,46.11244471509710000000,53.02413652981980000000,61.90703185617910000000,44.31647515336030000000
42,46.23970623036870000000,54.71573018153390000000,65.67762090711740000000,45.16416871423400000000
43,46.50061507014100000000,53.93158857163920000000,62.97218855346220000000,44.76575281133400000000
44,45.63770528754890000000,54.93875210275020000000,62.28909135985830000000,43.46074845187600000000
45,46.90095995875150000000,55.79915455516060000000,62.21667239270600000000,43.64148883384480000000
46,46.42824471330400000000,55.51653391361490000000,65.06723200895700000000,42.17771866878240000000
47,46.67385106218960000000,55.90150413688730000000,62.87061208424780000000,41.42121158405760000000
48,46.91245141395910000000,55.87577411017680000000,64.95243674688830000000,42.65167529044670000000
49,47.63772878648960000000,55.86438278341690000000,65.82594192430600000000,43.14370672170530000000
50,48.20899898901670000000,54.55565769867190000000,64.03690887362870000000,42.99905188962220000000
